Timestamp,Pupil_Size_Right,Pupil_Size_Left,UTC_Time
4132.10595703125,2.4681544303894043,2.5951626300811768,2023-04-20T08:29:55.209179
4132.10791015625,2.4662251472473145,2.5956385135650635,2023-04-20T08:29:55.212367
4132.10986328125,2.464531183242798,2.5960452556610107,2023-04-20T08:29:55.213874
4132.11181640625,2.4630343914031982,2.596090793609619,2023-04-20T08:29:55.214886
4132.11376953125,2.462580680847168,2.596410036087036,2023-04-20T08:29:55.217174
4132.1162109375,2.4621145725250244,2.5964653491973877,2023-04-20T08:29:55.218188
4132.1181640625,2.463923931121826,2.596733570098877,2023-04-20T08:29:55.221431
4132.1201171875,2.46518611907959,2.5969855785369873,2023-04-20T08:29:55.222430
4132.1220703125,2.46682071685791,2.597550392150879,2023-04-20T08:29:55.224430
4132.1240234375,2.4670615196228027,2.5980865955352783,2023-04-20T08:29:55.227431
4132.1259765625,2.467280864715576,2.599297523498535,2023-04-20T08:29:55.229431
4132.1279296875,2.4683711528778076,2.6004371643066406,2023-04-20T08:29:55.232431
4132.1298828125,2.469367027282715,2.600935935974121,2023-04-20T08:29:55.233431
4132.1318359375,2.471168041229248,2.6024887561798096,2023-04-20T08:29:55.236782
4132.1337890625,2.472757339477539,2.6038877964019775,2023-04-20T08:29:55.237782
4132.13623046875,2.474564552307129,2.6046276092529297,2023-04-20T08:29:55.246781
4132.13818359375,2.4763686656951904,2.605595350265503,2023-04-20T08:29:55.246781
4132.14013671875,2.4779789447784424,2.606428623199463,2023-04-20T08:29:55.247782
4132.14208984375,2.479670763015747,2.606743097305298,2023-04-20T08:29:55.247782
4132.14404296875,2.4809346199035645,2.6070921421051025,2023-04-20T08:29:55.251151
4132.14599609375,2.4830322265625,2.607478380203247,2023-04-20T08:29:55.251151
4132.14794921875,2.484078884124756,2.608001708984375,2023-04-20T08:29:55.252152
4132.14990234375,2.484867811203003,2.6083009243011475,2023-04-20T08:29:55.252152
4132.15185546875,2.4859001636505127,2.608527421951294,2023-04-20T08:29:55.256542
4132.15380859375,2.4868311882019043,2.608755350112915,2023-04-20T08:29:55.257761
